text,created_at,name
"നന്ദൻ കടുത്ത തീരുമാനമെടുക്കുന്നു. നിർമലയ്ക്ക് അനുമോളെ നഷ്ടമാകുമോ? വാനമ്പാടി - ഇന്ന് രാത്രി 7 ന് ഏഷ്യാനെറ്റിൽ.
Vanam… https://t.co/2UOk9NcC9X",2018-11-07 11:30:23,Asianet
@hotstartweets could you please upload the DANCE +4 sunday episode. I am eagerly waiting for that. #hotstar #StarPlus,2018-11-07 11:11:39,sunil_Anumolu
"സീതാ കല്യാണം - ഇന്ന് രാത്രി 9 മണിക്ക് ഏഷ്യാനെറ്റിൽ.
Seetha Kalyanam || Serial || Today at 9 PM || Asianet… https://t.co/Iu8O6lO6FX",2018-11-07 10:30:16,Asianet
"സംഘർഷഭരിത നിമിഷങ്ങളുമായി നീലക്കുയിൽ. ഇന്ന് രാത്രി 7:30 ന് ഏഷ്യാനെറ്റിൽ  
Neelakkuyil || Serial || Today at 7:30 PM… https://t.co/ff7IQIw2MA",2018-11-07 09:30:20,Asianet
#hotstar I love you very much😍😍,2018-11-07 08:18:31,Manasv
#hotstar I love u,2018-11-07 08:15:56,Manasv
"നീതുവിന്റെ ചതികൾക്ക് മറുപടി നൽകാൻ കാവ്യയുടെ തിരിച്ചുവരവ്. കസ്തൂരിമാൻ - ഇന്ന് രാത്രി 8:30 ന് ഏഷ്യാനെറ്റിൽ.
Kasthoori… https://t.co/auOAP22nZs",2018-11-07 07:30:32,Asianet
"നയനയ്ക്ക് വിതുരസുരയുടെ ഭീഷണി. ഭാര്യ - ഇന്ന് വൈകുന്നേരം 6:30 ന് ഏഷ്യാനെറ്റിൽ  
Bharya || Serial || Today at 6:30 PM… https://t.co/wulMqmLcF7",2018-11-07 06:30:16,Asianet
"RT @s_adhiti: Wishing All A Very Happy #ChotiDiwali 💖💫✨⚡ 
 
#छोटीदिवाली 💥 #Diwali

#Sarun #ipkknd #Arhi
#BarunSobti #SanayaIrani #IssPyaarK…",2018-11-07 06:11:53,Arshi SarunHamesha
RT @athulyaslaves: @AthulyaOfficial Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #h…,2018-11-06 20:12:46,Athulya Ravi
"RT @The_Great_JJ: Dance plus 4 ka 10th episode hotstar par kab add hoga? 
#DancePlus4 #hotstar",2018-11-06 20:02:18,jadav jayesh
"Dance plus 4 ka 10th episode hotstar par kab add hoga? 
#DancePlus4 #hotstar",2018-11-06 20:01:52,jadav jayesh
"Who Remembers this ? 
It's on @hotstartweets
#SmallWonder #Hotstar #nostalgia https://t.co/eNScxX027t",2018-11-06 18:17:56,Kush Vijay Vyas
"RT @s_adhiti: An #Arshilicious #KarvaChauth to all who are Fasting &amp; Celebrating 😍💖
#करवाचौथ 💞 #HappyKarvaChauth 

Enjoy the ""Karva Chauth""…",2018-11-06 18:13:08,Lyubov
RT @athulyaslaves: @AthulyaOfficial Advance Happy Diwali #athulyafans #athulyaslaves #athulya #athulyaravi #hotstar #hotstarathulya #hot #h…,2018-11-06 16:30:00,ATHULYAISM
RT @athulyaslaves: @AthulyaOfficial #athulyaravi #hotstar #hotstarathulya #hot  #hotathulya  #thalaivi #sarkar #tollywood #kollywood #bolly…,2018-11-06 16:25:54,SMS வசந்தன்
RT @athulyaslaves: @AthulyaOfficial #athulyaravi #hotstar #hotstarathulya #hot  #hotathulya  #thalaivi #sarkar #tollywood #kollywood #bolly…,2018-11-06 16:25:06,SMS வசந்தன்
